Text_ID,Original_Text,Place_Name,Place_Type,Spatial_Features_Manmade,Spatial_Features_Natural,Spatial_Features_Visual,Spatial_Features_OtherSensory,Sensory_Visual_Desc,Sensory_Auditory_Desc,Sensory_TactileKinesthetic_Desc,Sensory_OlfactoryGustatory_Desc,Cognitive_Legibility_Orientation,Cognitive_Functionality_Usability,Cognitive_Aesthetics_Quality,Cognitive_Atmosphere_Experience,Cognitive_Meaning_Association,Social_CrowdLevel,Emotion_Valence,Emotion_Discrete,Emotion_Intensity,Emotion_Shift,Social_Company,Behavior_Activities,Behavior_Social_Interaction_Desc,Behavior_Lingering_Mention,Behavior_Approach_Avoidance_Intent,Behavior_Plan_Change,Behavior_Activity_Evaluation,RE_Spatial_Cognitive,RE_Cognitive_Emotion,RE_Emotion_Behavior,RE_Spatial_Emotion,RE_Spatial_Relation,RE_Other,Spatio_Emotional_Cognitive_Behavioral_Summary
entry_1,🚲扬子江公园浦口码头长江大桥绿道，本以为就一个扬子江生态公园，没想到骑车可以一路向北到长江大桥附近，太美了，比玄武湖更舒适。 ⭐天气好，很出片！降了一点色温，突出蓝调。抓拍到的一家三口，有意思的画面。,扬子江公园; 浦口码头; 长江大桥,公园/绿地; 交通枢纽; 地标/空间节点; 路径/步道,绿道; 长江大桥,天气,蓝调; 一家三口,,很出片; 蓝调,,舒适,,,舒适,太美了; 很出片; 有意思,舒适,,,Positive,愉悦/开心; 惊叹/敬畏; 兴趣/好奇,强/高,否,独自,骑车(个人); 拍照(个人),抓拍到的一家三口,,,否,很出片,[绿道] -> [舒适]; [天气好] -> [很出片],[太美了] -> [愉悦/开心]; [舒适] -> [放松/平静],,[扬子江公园浦口码头长江大桥绿道] -> [愉悦/开心],[绿道] [连接] [扬子江公园]; [绿道] [连接] [长江大桥],,在扬子江公园浦口码头长江大桥绿道(地点/人造特征)，骑车和拍照(行为)，天气好(自然特征)，感觉景色太美、很出片、比玄武湖更舒适(认知美学/氛围)，感到愉悦(情感)。
entry_2,Day1:玄武湖明城墙（解放门太平门）德基艺术博物馆（打卡德基解忧所）明朝那些事儿沉浸展夫子庙老门东中华门夜景 Day2:弘阳广场浦口火车站坐船到中山码头骑共享单车到下关火车街区步行到南京长江大桥科巷吃美食中山陵（音乐台）D9街区（1921街区）南京站 带着水韵江苏旅游年卡游南京，第一天的路线都是根据年卡的景点路线游玩的。 玄武湖挺大，不想走，也有旅游车。 德基艺术博物馆需要提前一天预约，夫子庙的科举博物馆需要16点前换票，错过时间没去成。明朝那些事儿沉浸展在夫子庙旁边非遗馆，距离不远，有点无聊，15点半、16点半一场小密室，20分钟左右。 老门东的美食可以，紫藤花开了，很美。老门东走到中华门700m，18点30分左右换票进入，正好看表演，表演结束可以登城门看夜景，远望报恩塔。 南京共享单车选择哈啰4.9元3天不限次的性价比高，景点距离不远，骑车比较省脚力。 住宿在弘阳广场附近，有点远，但是本人有优惠，29元拿下。顺便逛了下弘阳广场未来世界，3个游乐项目，摩天轮11点多开，116米高，门票正价60，等不到去了浦口火车站街区，南京北站旧址改造，店铺还未全开，可以拍照。对面浦口码头坐船到中山码头，刷公交卡2元，船二楼看看风景，很美。 中山码头骑车到下关火车街区，步行到南京长江大桥（很长一段路），这里是近距离看长江大桥的地方。 骑车3km到地铁站坐到大行宫站，科巷美食挺多，选择也多。大行宫到下马坊站，出来乘旅游车10元去中山陵，上山3km，这个钱不要省啊。中山陵爬上去也要很多体力，没有提前预约，到现场约的，3点多到已经有1.7万人，人真多，纪念馆不能带纸杯装饮料，没进。对面就是音乐台，门票10元，各种优惠券叠加1元拿下。游客挺多，拍照20，拍照的人很多。下山走森林步道600m到中山停车场，步道并不无聊，有摄影作品，并且两边店铺不少，观赏性也不错，中山停车场骑共享单车下山（这一段有共享单车和电瓶车了），全程下坡路，不用自己骑，省了10元游览车费用。 还有1小时打卡了D9街区和1921街区，一街之隔，D9街区适合喜欢拍照打卡的，几个场景不错。,玄武湖; 明城墙; 解放门; 太平门; 德基艺术博物馆; 夫子庙; 老门东; 中华门; 弘阳广场; 浦口火车站; 中山码头; 下关火车街区; 南京长江大桥; 科巷; 中山陵; 音乐台; D9街区; 1921街区; 南京站; 浦口码头; 南京北站; 大行宫站; 下马坊站; 中山停车场,公园/绿地; 历史遗迹; 商业设施; 交通枢纽; 广场/开阔地; 地标/空间节点; 路径/步道,明城墙; 解放门; 太平门; 博物馆; 沉浸展; 中华门; 城门; 报恩塔; 共享单车; 住宿; 弘阳广场; 游乐项目; 摩天轮; 浦口火车站; 南京北站; 店铺; 船; 轮渡; 中山码头; 下关火车街区; 长江大桥; 地铁站; 旅游车; 中山陵; 纪念馆; 音乐台; 森林步道; 中山停车场; D9街区; 1912街区; 南京站,玄武湖; 紫藤花,夜景; 风景,,挺大; 很美; 不错,,省脚力; 要很多体力,,有点远; 距离不远; 很长一段路,有旅游车; 需要提前一天预约; 需要16点前换票; 性价比高; 省脚力; 设施齐全 (共享单车/电瓶车); 方便 (旅游车),很美; 不错; 观赏性也不错,有点无聊; 并不无聊,,人真多; 游客挺多,Mixed,愉悦/开心; 无聊/厌烦; 挫败/烦恼,中/一般,否,独自,游玩(个人); 打卡(个人); 看展(个人); 坐船(个人); 骑共享单车(个人); 步行(个人); 吃美食(个人); 看表演(个人); 登城门(个人); 看夜景(个人); 拍照(个人); 逛街(个人),,20分钟左右,,是 (科举博物馆错过时间没去成; 纪念馆不能带饮料没进),有点无聊 (沉浸展); 省脚力 (骑车),[紫藤花] -> [很美]; [共享单车] -> [性价比高]; [旅游车] -> [方便],[有点无聊] -> [无聊/厌烦]; [很美] -> [愉悦/开心],,[风景] -> [愉悦/开心],[明朝那些事儿沉浸展] [位于] [夫子庙旁边非遗馆]; [老门东] [距离700m] [中华门]; [浦口码头] [位于] [浦口火车站对面]; [中山码头] [距离3km] [地铁站]; [音乐台] [位于] [中山陵对面],[水韵江苏旅游年卡] -> [游南京],根据年卡路线游览了南京多个景点(行为)，包括玄武湖、老门东、浦口火车站、中山陵等(地点)，体验了坐船、骑车、看展等活动(行为)，认为老门东紫藤花很美、船上风景很美(认知美学)，但部分展馆有点无聊(认知氛围)，中山陵人多(认知人群)，整体行程充实但也有遗憾(情感)。
entry_3,感到焦虑时，就去做内心最想做的事情吧！ 在焦虑已经成为现代人普遍的精神状态时，全身心的投入拍照的过程真的会让人短暂地忘记一切现实的烦恼，像是给大脑做按摩。干起来，一切自有其解决的办法。 一点拍照小技巧： 1. 光线运用：这张照片运用了侧逆光，营造出梦幻的氛围。在拍照时，可以选择清晨或傍晚时分，利用柔和的自然光线，让光线从侧面或后面打过来，勾勒出人物的轮廓，增加照片的层次感和立体感。 2. 道具选择：选择具有季节特色的道具，如照片中的棉花和花朵，能增强画面的氛围感和主题感。 地点：南京下关火车站,下关火车站,历史遗迹; 交通枢纽,,光线; 清晨; 傍晚; 棉花; 花朵,光线; 侧逆光; 人物轮廓; 棉花; 花朵,,柔和; 梦幻,,,,,,,梦幻的氛围; 氛围感,,,Mixed,焦虑/害怕; 放松/平静,中/一般,是 (焦虑->放松),独自,拍照(个人),,,,否,短暂地忘记一切现实的烦恼; 像是给大脑做按摩,[侧逆光] -> [梦幻的氛围]; [道具] -> [增强画面的氛围感],[忘记烦恼/像按摩] -> [放松/平静],[焦虑/害怕] -> [拍照],,[地点] [是] [南京下关火车站],[拍照的过程] -> [忘记烦恼],在南京下关火车站(地点)，感到焦虑时(情感)，通过全身心投入拍照(行为)，利用侧逆光营造梦幻氛围(空间特征/认知氛围)，能短暂忘记烦恼，感到放松(情感/活动评价)。
entry_4,在南京长江边沿江路上，中山北路北段，铁路轮渡栈桥旧址西边，还有座重要的轮渡码头，就是具有百年历史的＂中山码头＂。中山码头始建于1925年，最初名为＂京浦铁路首都码头＂，我们也叫他下关码头。 1928年8月8日峻工。他的历史可以追溯到民国时期，最初是为了迎接孙中山先生的灵柩而建，因此得名＂中山码头＂。被列为南京市第三批第一名文化遗产保护名录，具有重要的文化和历史价值。 他的航线从南京下关码头到浦口码头。南京长江大桥建成后，他的作用减少了很多，但目前仍在使用。 图一为中山码头重新修缮后的外景；图二为几十年前的中山码头外景；图三为中山码头登船处；图四为中山码头轮渡船之一＂中山号＂；图六、图七为江北浦口码头。,中山码头; 浦口码头; 南京长江大桥; 下关码头,交通枢纽; 历史遗迹; 地标/空间节点,铁路轮渡栈桥旧址; 轮渡码头; 中山码头; 下关码头; 登船处; 轮渡船; 中山号; 浦口码头; 南京长江大桥,长江,外景,,,,,,,作用减少了很多; 目前仍在使用,重新修缮,,具有百年历史; 民国时期; 迎接孙中山先生的灵柩; 文化遗产保护名录; 重要的文化和历史价值,,Neutral,,,否,,,,,,否,,[中山码头] -> [具有百年历史/重要的文化和历史价值],,,,[中山码头] [位于] [南京长江边沿江路上]; [中山码头] [位于] [中山北路北段]; [中山码头] [位于] [铁路轮渡栈桥旧址西边]; [中山码头航线] [从] [南京下关码头] [到] [浦口码头],[南京长江大桥建成后] -> [中山码头作用减少],介绍了位于南京长江边沿江路的中山码头(地点)，其具有百年历史(认知意义)，最初为迎接孙中山灵柩而建(认知意义)，是重要的文化遗产(认知意义)，连接下关与浦口(空间关系)，虽然作用减少但仍在使用(认知功能)。
entry_5,周末值得去江边走一走 以前轮渡等候的候船厅变成了历史陈列馆 大爱腰包 小包就要够亮眼,江边; 轮渡候船厅; 历史陈列馆,滨水区域; 历史遗迹; 交通枢纽,轮渡候船厅; 历史陈列馆,江边,腰包; 小包,,够亮眼,,,,,,大爱,,历史,,Positive,愉悦/开心; 兴趣/好奇,中/一般,否,,走一走(个人),,,值得去,否,,[轮渡候船厅] -> [变成了历史陈列馆],[大爱] -> [愉悦/开心],[愉悦/开心] -> [值得去],[江边] -> [放松/平静],[历史陈列馆] [是以前的] [轮渡候船厅],,推荐周末去江边走走(行为/意图)，以前的轮渡候船厅(地点/人造特征)变成了历史陈列馆(空间特征)，表达了对亮眼小包的喜爱(认知美学/情感)。
entry_6,浦口火车站始建于1908年，距今已有百年历史，是津浦线上重要交通枢纽 🎉中国唯一保存民国特色的火车站 🎉中国唯一完整保留历史风貌的百年老火车站 🎉被列为中国最文艺的九个火车站之一 《背影》 朱自清和父亲在这里告别 《金粉世家》 金燕西和冷清秋在这里错过 《情深深雨蒙蒙》 依萍和书桓在这里难舍难分 现在这里有哪些逛的⏬⏬⏬ 浦口火车站街区 南京北站旧址 浦口码头 观江平台 📍浦口火车站街区 民国建筑风格，十分适合拍照打卡 复古文艺范的路牌、店招.......瞬间穿越百年 长椅上，一包橘子小品装饰，旁边真的有颗橘子树啊 纯逛半小时，拍照要一天，真的每一处都很出片 📍南京北站旧址 雨廊、月台、售票房、候车大楼......自带岁月感 📍浦口码头 可坐轮渡到中山码头，在市区过来的朋友可以体验一下。嗯，就是味道不怎么好闻，毕竟不是观光，就是交通工具,浦口火车站; 南京北站; 浦口码头; 中山码头; 观江平台,历史遗迹; 交通枢纽; 商业设施; 地标/空间节点,火车站; 街区; 南京北站旧址; 浦口码头; 观江平台; 民国建筑; 路牌; 店招; 长椅; 橘子小品装饰; 雨廊; 月台; 售票房; 候车大楼; 轮渡,橘子树; 味道,民国建筑风格; 复古文艺范的路牌; 店招; 橘子小品装饰; 橘子树; 雨廊; 月台; 售票房; 候车大楼,味道不怎么好闻,复古文艺范; 很出片; 自带岁月感,,,味道不怎么好闻,,可坐轮渡; 交通工具,民国特色; 历史风貌; 最文艺; 民国建筑风格; 复古文艺范; 很出片; 自带岁月感,文艺; 瞬间穿越百年; 岁月感,百年历史; 民国特色; 百年老火车站; 文艺; 《背影》; 《金粉世家》; 《情深深雨蒙蒙》; 历史风貌,,Positive,兴趣/好奇; 愉悦/开心; 怀旧/温馨; 厌恶,中/一般,否,与朋友,逛(个人); 拍照打卡(个人); 坐轮渡(个人),,纯逛半小时，拍照要一天,可以体验一下,否,十分适合拍照打卡; 每一处都很出片,[民国建筑风格] -> [适合拍照打卡/复古文艺范]; [南京北站旧址] -> [自带岁月感]; [浦口码头] -> [味道不怎么好闻],[文艺/复古] -> [兴趣/好奇]; [很出片] -> [愉悦/开心]; [味道不好闻] -> [厌恶],[兴趣/好奇] -> [逛/拍照],[浦口火车站] -> [怀旧/温馨],[浦口码头] [可以坐轮渡到] [中山码头],[浦口火车站] -> [《背影》《金粉世家》《情深深雨蒙蒙》取景地],介绍了浦口火车站(地点)及其周边街区、南京北站旧址、浦口码头(地点)，强调其百年历史、民国特色和文艺氛围(认知意义/氛围)，适合拍照打卡且很出片(认知美学/行为)，提及可坐轮渡但味道不好闻(认知功能/感官)，引发怀旧和愉悦情感(情感)，建议体验(行为意图)。
entry_7,📍：中山码头 南京市鼓楼区中山北路643号 🎫：轮渡2元人 （支付宝公交卡） ⏰：每半小时出发一班 晚上7.00截止 🚢：中山码头浦口码头南京北站中山码头 ▫中山码头轮渡 在中山码头 乘坐轮船即可 轮船一般是3层 第1层可以停放电动车 第2层有座位 第3层是甲板 （去第3层的甲板需要10元） ‼一定要算好时间 每半小时发1次轮船 ▫浦口码头南京北站 乘坐10分钟左右就到浦口码头 下船后就能看到南京北站 南京北站的故事真的很丰富 朱自清父亲的背影 情深深雨濛濛的取景地 ▫日落 最近白天变长 日落要17.30以后才能出现 我们选择的是17.30的轮渡 登上了甲板 风景真的很美很美 甲板上也很适合拍照 夕阳就像橘子海一样 💡2元是单次单人 不是全程 💡人很多 建议规划好时间 选择最佳位置,中山码头; 浦口码头; 南京北站,交通枢纽; 历史遗迹; 地标/空间节点,"轮渡; 轮船 (3层: 电动车停放区, 座位区, 甲板); 南京北站",日落; 夕阳; 风景,风景; 夕阳; 橘子海,,真的很美很美; 像橘子海一样,,,,下船后就能看到南京北站,可停放电动车; 有座位; 需额外付费 (甲板); 班次固定 (半小时); 时间有限 (晚上7点截止); 价格便宜 (2元),真的很美很美; 很适合拍照,浪漫,故事真的很丰富; 朱自清父亲的背影; 情深深雨濛濛的取景地,人很多,Positive,愉悦/开心; 惊叹/敬畏; 兴趣/好奇,强/高,否,我们,乘坐轮渡(集体); 登甲板(集体); 看风景(集体); 拍照(集体); 看日落(集体),,乘坐10分钟左右,建议规划好时间 选择最佳位置,否,很适合拍照,[甲板] -> [很适合拍照]; [风景] -> [真的很美很美]; [夕阳] -> [像橘子海一样],[真的很美很美] -> [愉悦/开心]; [真的很美很美] -> [惊叹/敬畏],[愉悦/开心] -> [拍照],[风景/夕阳/橘子海] -> [愉悦/开心],[中山码头] [轮渡连接] [浦口码头]; [浦口码头] [靠近] [南京北站],[南京北站] -> [朱自清背影/情深深雨濛濛取景地],在中山码头(地点)乘坐轮渡(行为)，体验了三层轮船(人造特征)，在甲板上欣赏了橘子海般的日落风景(自然/视觉特征)，感觉风景很美(认知美学)，很适合拍照(行为评价)，提及南京北站丰富的历史故事(认知意义)，但人很多需规划时间(认知人群/建议)。
entry_8,1下关火车遗址公园江豚观测站🐬中山码头浦口火车站中山码头 路线惊喜：可以看到江豚还有夕阳！ 2晚上再去玻璃栈道，有灯光能看到大桥🌉,下关火车遗址公园; 江豚观测站; 中山码头; 浦口火车站; 玻璃栈道; 长江大桥,公园/绿地; 历史遗迹; 交通枢纽; 地标/空间节点,下关火车遗址公园; 江豚观测站; 中山码头; 浦口火车站; 玻璃栈道; 灯光; 大桥,江豚; 夕阳,江豚; 夕阳; 灯光; 大桥,,,,,,,,惊喜,惊喜,,,Positive,愉悦/开心; 兴趣/好奇,中/一般,否,,观赏(个人),,,,否,,[江豚/夕阳] -> [惊喜],[惊喜] -> [愉悦/开心],,[江豚/夕阳] -> [愉悦/开心]; [灯光/大桥] -> [兴趣/好奇],,,推荐了一条游览路线(行为)，包括下关火车遗址公园、江豚观测站、中山码头、浦口火车站(地点)，惊喜在于可以看到江豚和夕阳(自然特征/情感/认知)，晚上再去玻璃栈道看灯光下的大桥(地点/人造特征/行为)。
entry_9,南京下关,下关,,,,,,,,,,,,,,,,Neutral,,,否,,,,,,否,,,,,,,,提及了南京下关(地点)。
entry_10,新街口的巷子里真的是处处是宝藏。 大锏银巷里竟然还藏有一个民国年代建筑遗存一金陵协和🧝♂学院。作为民国金陵女子🧝♂学院旧址，校园建筑风格很西洋，广场中央小天使叠层喷泉池是典型的巴洛克风格。 1美驻华大使司徒雷登（今牧心花园是其旧宅）曾在该校任教； 2张艺谋电影《金陵十三衩》曾在此地取景； 3这里是中国Steinway音乐基地； 🎻从上海路或中山东路切入巷弄里，曲径通幽，进去后又豁然开朗，整个环境闹中取静，非常闲适。 🌸在院子的前门入口，沿着草地的一整排无尽夏，汹涌蓬勃，色彩斑斓，是当季打卡的明星。 🎫门票：FREE 🚇交通：地铁一号线新街口站20号口出；地铁二号线上海路站2号口出 🗺关于我: 🐟一个思维跳跃到，和夏日湖面上的波光一样的双鱼 ❤爱电影喜欢旅游和认识有趣的人 🧏♂南京新房客 喜欢➕关注👍赞💗藏 户外薯 生活薯 本地薯 人文薯 艺术薯,新街口; 大锏银巷; 金陵协和学院; 金陵女子学院旧址; 牧心花园; 上海路; 中山东路,历史遗迹; 公园/绿地; 广场/开阔地,巷子; 建筑遗存; 学院; 校园建筑; 广场; 喷泉池; 旧宅; 音乐基地; 巷弄; 院子; 前门入口; 地铁站,草地; 无尽夏 (花); 湖面波光 (比喻),西洋风格; 巴洛克风格; 无尽夏; 汹涌蓬勃; 色彩斑斓,,西洋; 巴洛克风格; 曲径通幽; 豁然开朗; 汹涌蓬勃; 色彩斑斓,闹中取静,闲适,,曲径通幽; 豁然开朗,免费,宝藏; 西洋风格; 巴洛克风格; 汹涌蓬勃; 色彩斑斓; 打卡的明星,闹中取静; 非常闲适,民国年代; 金陵女子学院旧址; 司徒雷登; 《金陵十三衩》取景地; 中国Steinway音乐基地,闹中取静,Positive,愉悦/开心; 兴趣/好奇; 放松/平静,中/一般,否,独自,打卡(个人),,,喜欢,否,,[巷弄] -> [曲径通幽]; [进去后] -> [豁然开朗]; [环境] -> [闹中取静/非常闲适]; [无尽夏] -> [汹涌蓬勃/色彩斑斓/打卡的明星],[宝藏] -> [兴趣/好奇]; [闲适] -> [放松/平静]; [打卡的明星] -> [愉悦/开心],[兴趣/好奇] -> [打卡],[金陵协和学院] -> [兴趣/好奇],[金陵协和学院] [位于] [大锏银巷]; [大锏银巷] [位于] [新街口],[金陵协和学院] -> [《金陵十三衩》取景地],在新街口大锏银巷(地点)发现了金陵协和学院(地点/历史遗迹)，其西洋巴洛克风格的建筑(空间特征/认知美学)和盛开的无尽夏(自然特征/认知美学)是宝藏，环境闹中取静非常闲适(认知氛围/感官)，承载着民国历史和文化意义(认知意义)，适合打卡(行为)，让人感到愉悦和放松(情感)。
