基础信息_Text_ID,基础信息_Original_Text,空间环境特征_Place_Name,空间环境特征_Place_Type,空间环境特征_Spatial_Features_Manmade,空间环境特征_Spatial_Features_Natural,空间环境特征_Spatial_Features_Visual,空间环境特征_Spatial_Features_OtherSensory,认知评价与体验_Sensory_Visual_Desc,认知评价与体验_Sensory_Auditory_Desc,认知评价与体验_Sensory_TactileKinesthetic_Desc,认知评价与体验_Sensory_OlfactoryGustatory_Desc,认知评价与体验_Cognitive_Legibility_Orientation,认知评价与体验_Cognitive_Functionality_Usability,认知评价与体验_Cognitive_Aesthetics_Quality,认知评价与体验_Cognitive_Atmosphere_Experience,认知评价与体验_Cognitive_Meaning_Association,认知评价与体验_Social_CrowdLevel,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,行为活动_Social_Company,行为活动_Behavior_Activities,行为活动_Behavior_Social_Interaction_Desc,行为活动_Behavior_Lingering_Mention,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation,关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion,关系抽取_RE_Spatial_Relation,关系抽取_RE_Other,综合摘要_Spatio_Emotional_Cognitive_Behavioral_Summary,筛选
487,熬夜整理了4条个人很喜欢的city walk路线供大家参考～ 1下关滨江风光带路线 玻璃栈桥下关火车遗址公园江豚观测点下关大马路中山码头浦口火车站 2老城南路线 钓鱼台老门东小西湖夫子庙 3城中文艺浪漫路线 先锋书店（五台山总店）陶谷新村金银街颐和路 4钟山风景区路线 音乐台中山陵美龄宫明孝陵燕雀湖环陵路 🏠住宿篇 1追求好看的夜景就选夫子庙附近 2追求交通便利就选新街口附近 3追求环境安静就选鼓楼附近 👗穿搭建议 1休闲慵懒风：悦动新西门18栋（南京打卡墙）、宁海中学北门（紫峰大厦经典机位）、先锋书店五台山总店 2简约自然风：梧桐大道木桥（明孝陵5号出口）、音乐台、梧桐大道（灵谷寺路） 3新中式、汉服、 旗袍：夫子庙（文德桥、平江桥、东园桥、得月台4楼）、大报恩寺（南京书、琉璃塔、感恩众生、菩提树下、千年地宫）、老门东（竹里馆门口、德云社、芥子园）、南京博物院（民国馆） ❗南京tips 111.13前小奶龙化身大报恩寺的守护神，进门就可以领取奶龙故事册，完成谜题还有限定章！ 2一定要带好学生证🪪不然钱包会受伤 3老门东很多好看的都在小巷子里，比如说香水博物馆秋也家，想买什么香水都可以先闻再买，莫奈风的装修，如果有太阳的话，就像个秘密花园 🍲好吃的 📍钟山风景区：大明王朝南京菜（地铁口旁，逛完钟山风景区可以吃完再回去） 📍老门东：米辣、竹里馆、庙东排骨创始店（就在景区，比较方便） 📍新街口：泥炉烧肉师、芮卡、鸿福面馆（住新街口附近的话吃着就很方便） 📍北门桥：松澜烧鸟酒场、朱小乐（离新街口较近，也比较方便） 机票怎么订便宜？方法我放下面啦！ ⭕下载并打开去哪旅行app🐫 ⭕首页搜索框输入475276 ⭕点击搜索领取优惠券下单立享优惠！ 现在就可🉑抢！ 抓紧手速 ✅有这些： 🎫20元机票燃油券 🎫50元深航机票券 希望这篇攻略可以帮到大家呀～祝大家在南京玩的开心🎉,玻璃栈道; 下关火车主题公园; 江豚观赏地; 大马路; 中山码头; 浦口火车站,滨水区域; 历史遗迹; 公园/绿地; 地标/空间节点; 交通枢纽,玻璃栈道; 火车头与车厢; 观景平台; 码头设施; 铁路轨道,长江; 江面,开阔江景; 工业风格建筑; 长江大桥全景,,,,,,路线清晰,基本功能完善,有历史感; 出片,宁静/放松; 有氛围感,有历史感; 有文化底蕴,无法判断,Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,独自; 与朋友; 与家人,散步; 观景; 拍照; 游览,,,推荐,否,适合city walk的城市漫步路线,[玻璃栈道] -> [出片]; [下关火车主题公园] -> [有历史感],[有历史感] -> [兴趣/好奇]; [出片] -> [愉悦/开心],[愉悦/开心] -> [推荐],[开阔江景] -> [放松/平静],[玻璃栈道] [连接] [下关火车主题公园]; [中山码头] [通过轮渡连接] [浦口火车站],,在下关滨江风光带路线(地点/滨水+历史)，进行城市漫步和拍照活动(行为)，感知到开阔江景和工业遗存(视觉)，认为该区域有历史感且适合拍照(认知美学)，感到放松和愉悦(情感)，并作为推荐路线分享给他人(行为意图)。,0.275225203
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49685818
738,中山码头非常好的地方，坐轮渡过长江，基本都是20分钟一班，中午11点到下午2点是一小时一班，刷公交卡或者买票就是两块钱，公交车坐到中山码头下来就可以看到了，想起若干年前去香港🇭🇰让游客看江景坐的就是这种轮渡船🚢，破破烂烂的，比南京这里差远了！,中山码头,交通枢纽,轮渡; 码头设施; 公交车站,长江,江景,,江景,,,,路线清晰（公交车直达）,交通便利；票价便宜；班次规律,比香港轮渡新/好,便捷; 有回忆感,与香港轮渡的对比引发城市比较记忆,无法判断,Positive,舒适/安全; 自豪/归属感,中/一般,否,无法判断,乘坐轮渡; 观景; 公共交通出行,,,推荐/下次还来,否,轮渡体验良好,[轮渡] -> [交通便利]; [轮渡] -> [票价便宜],[交通便利] -> [舒适/安全]; [比香港好] -> [自豪/归属感],[舒适/安全] -> [推荐/下次还来],[江景] -> [舒适/安全],[中山码头] [通过公交连接] [市区]; [轮渡] [跨越] [长江],[轮渡] [价格] [2元],在中山码头（地点），乘坐轮渡跨江（行为），感知到江景和轮渡服务品质（感官与功能），认为其比香港更优且交通便利（认知评价），感受到舒适与自豪（情感），并表达了推荐态度（行为意图）。,0.57961588
290,一座有着百年历史的火车站，在这里发生了很多感人至深的故事，其不仅代表着人们的离别与重逢，更是见证了时间的流转与岁月的变迁！,南京西站,历史遗迹; 交通枢纽,火车站建筑; 候车厅; 月台; 铁轨,,具有历史感的建筑外观,列车汽笛声,有历史感,列车汽笛声引发联想,,,空间布局清晰（基于历史描述）,已不具备现代交通功能但具有文化展示价值,有设计感; 精致; 有历史韵味,怀旧; 有故事感; 沉静,象征离别与重逢; 承载时光记忆; 有文化底蕴,无法判断,Positive,怀旧/温馨; 敬佩/惊叹,强/高,否,无法判断,参观; 怀旧回忆; 拍照留念,,沉浸在历史氛围中,推荐参观; 有文化意义值得了解,无法判断,感受到历史厚重感，体验深刻,[百年火车站] -> [有历史感]; [火车站建筑] -> [有文化底蕴],[有文化底蕴] -> [怀旧/温馨]; [见证岁月变迁] -> [敬佩/惊叹],[怀旧/温馨] -> [沉浸于历史氛围中],[火车站的历史背景] -> [敬佩/惊叹],[南京西站] [是] [下关火车主题公园组成部分],[火车站] [承载] [城市记忆],在南京西站这座百年火车站（地点/历史遗迹），感知到火车站建筑和列车汽笛声（感官体验），认为其有历史感且承载时光记忆（认知评价），感受到怀旧与敬佩的情感（情感表达），并表达了推荐参观的行为意图（行为意图）。,0.350294913
478,🪄坐公交到中山码头坐⛴宁浦线 ❣温馨提示1：轮渡半小时一趟，近期排队的人很多，进去也很快，我工作日去的，如果刚好上一班走，差不多也就等20多分钟，在船上的时间很短！ 🪄到达浦口码头看指示牌 步行就直达浦口火车站近代建筑风貌街区(免费🆓） 里面有很多可以拍照的地方～ ❣温馨提示2：因为目前感觉还没那么完善，所以可看的比较少，当出来吹吹江风，citywalk，回忆一下朱自清的《背影》完全可以。 🪄现在天黑的较早，所以落日很快就没了hh如图p12 ❣温馨提示3：轮渡最晚一班19:00,中山码头; 浦口码头; 浦口火车站近代建筑风貌街区,交通枢纽; 历史遗迹; 公园/绿地,轮渡; 指示牌; 近代建筑; 铁路设施,江风; 落日,近代建筑风貌; 可拍照地点,江风吹拂,有很多可以拍照的地方,,江风吹拂舒服,,路线清晰（看指示牌步行直达）,轮渡半小时一趟；轮渡最晚一班19:00；排队有序,近代建筑风貌有美感,适合citywalk; 有文化氛围（联系《背影》）,朱自清《背影》文学联想,人多/拥挤（排队的人很多）,Positive,放松/平静; 愉悦/开心,中/一般,否,独自,乘坐轮渡; citywalk; 拍照; 观景,,在船上的时间很短；出来吹吹江风,推荐作为休闲去处,否,拍照体验良好；适合散步放松,[浦口火车站近代建筑风貌街区] -> [有很多可以拍照的地方]; [轮渡服务] -> [半小时一趟],[吹吹江风] -> [放松/平静]; [拍照体验] -> [愉悦/开心],[放松/平静] -> [推荐作为休闲去处],[近代建筑风貌] -> [愉悦/开心],[中山码头] [通过轮渡连接] [浦口码头]; [浦口码头] [步行连接] [浦口火车站近代建筑风貌街区],[朱自清《背影》] [引发回忆],从中山码头乘坐轮渡至浦口码头（地点），进行城市漫步和拍照活动（行为），感知到江风吹拂的舒适触觉和近代建筑的视觉美感（感官体验），认为该区域适合休闲散步且具有文化氛围（认知评价），感受到放松和愉悦的情感（情感表达），并将其推荐为城市休闲去处（行为意图）。,0.54180249
324,大家好，我是61酱！ 马上国庆节了，做好带娃出行准备了吗？ 游南京不想人挤人，可以考虑这条游玩路线哦， 仅需2元就可以坐轮渡游长江！简直不要太快乐🎉‼ 🚩路线：打车🚗至中山码头⛵，或公交车🚌31、34路中山码头站！ 🚩轮渡时间6:0019:00，半小时左右一趟，仅需2元，可刷公交码上船，乘坐十几分钟即可到达南京北站，⛴一楼可以停电动车，想要二楼窗边的位置就需要跑得快，也可以花10元去三楼甲板观景，但不是每趟都开放，船上可以近距离拥抱长江，观赏长江大桥全貌，天气好建议下午四点多来，可以欣赏长江的日落🌞，绝美！ 下船就是南京北站，即朱自清的背影里的车站！旁边也有复古街区，狠适🈴拍复古风的照片，上图照片都是在那拍的。大概半小时逛完，可以乘船返回，有时间也可以附近逛逛！ 附近景点： 1首都电厂旧址 2江豚观赏点 3南堡公园（玻璃栈道） 4下关火车站 5长江大桥 之后打车返回。,中山码头; 南京北站; 首都电厂旧址; 江豚观赏地; 大桥南堡公园; 下关火车主题公园; 长江大桥,交通枢纽; 历史遗迹; 公园/绿地; 地标/空间节点; 商业设施,轮渡; 码头设施; 电动车停放区; 观景甲板; 长江大桥; 古街建筑; 火车站建筑; 玻璃栈道,长江; 日落,复古风格建筑; 长江大桥全貌; 长江日落; 开阔江景,江风,绝美,,近距离拥抱长江,,路线清晰; 时间安排明确,价格实惠(2元); 刷公交码便捷; 电动车停放方便; 航程约十几分钟,复古风适合拍照; 长江大桥壮观; 日落美景,适合亲子出行; 不拥挤,朱自清《背影》中的车站; 历史感,人少/不拥挤,Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,与家人,乘坐轮渡; 拍照; 游览; 观景; 看日落; 亲子活动,带娃出行,大概半小时逛完,推荐; 下次还来,否,太快乐; 绝美日落,[轮渡] -> [价格实惠]; [长江日落] -> [绝美],[复古风适合拍照] -> [愉悦/开心]; [近距离拥抱长江] -> [放松/平静]; [长江大桥壮观] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来]; [放松/平静] -> [适合亲子出行],[长江日落] -> [敬畏/惊叹]; [近距离拥抱长江] -> [放松/平静],[中山码头] [通过渡轮连接] [南京北站]; [南京北站] [邻近] [复古街区]; [南京北站] [包含] [朱自清背影场景],[轮渡] [价格] [2元]; [三楼甲板] [额外费用] [10元],在中山码头至南京北站轮渡线路中（地点），与家人一起进行亲子出游（行为），感知到江风拂面和长江日落（感官体验），认为该线路价格实惠且风景绝美（认知评价），感到愉悦、放松和惊叹（情感表达），并强烈推荐此亲子出行路线（行为意图）。,0.102009501
571,约不到妹子，那就爬楼 原来风光佬的快乐是这样的终于找到了传说中的机位,无法判断,地标/空间节点,建筑屋顶; 楼梯/通道,城市景观,城市风光,,视野开阔,,爬楼,,有'传说中的机位'方向感暗示,适合摄影,有美感的城市景观,满足感,摄影文化意义,空旷/没人,Positive,兴趣/好奇; 自豪/归属感,中/一般,否,独自,爬楼; 摄影,,找到机位并停留拍摄,下次还来,否,体验满足预期,[城市景观] -> [适合摄影]; [高楼位置] -> [视野开阔],[满足感] -> [自豪/归属感],[自豪/归属感] -> [下次还来],[城市景观] -> [满足感],无法判断,无法判断,在未明确指出的具体地点（可能是高楼），通过爬楼到达具有摄影价值的位置（人造特征），进行摄影活动（行为），感知到开阔的视觉景观（感官体验），认为该地点适合摄影且具有满足感（认知评价），感受到自豪和归属感（情感表达），并表达了再次来访的意愿（行为意图）。,0.089248212
40,📢计划出一个新系列 整理和分享之前合作过，允许拍摄的场地信息 合作拍摄过的场地推荐 不是我的场地哈 推荐指数45 之前有一部片子需要在南京找到一个火车车厢的内景 有一些很偏僻的废弃场地 但实际拍摄有危险 最好还是找到了这一家火车主题公园 同样也很适合平面摄影～ 1场地情况 这个场地是在公园里的一节火车 p24内部 拍摄效果（车厢走道） p5外部 实景 车厢内部较窄，可拍摄区域比较有限 走道可同时让2个人通行 包厢可坐4个人左右 内部分为1012节车厢 内饰基本一致 但头尾的的车厢面积会更大一点 2配合度 有管理员，配合度非常高，申请流程方便 3周边环境 场地门口就是厕所和小店，走十步路就到 器材车无法直接到场地，要停在公园最近的一个门 拉器材到景里（这一路全程可用小推车） 4价格 需要花钱，价格对在读学生组偏高（比较主观）,下关火车主题公园,公园/绿地; 历史遗迹; 地标/空间节点,绿皮火车; 火车车厢; 车厢走道; 包厢; 公园设施; 厕所; 小店,,工业风建筑; 绿皮火车; 火车车厢内饰,,适合平面摄影,,车厢内部较窄; 可同时让2个人通行,,路线清晰; 器材运输路径明确,配合度高; 申请流程方便; 设施齐全（厕所、小店）; 对学生组费用偏高,适合平面摄影; 工业风格; 有一定设计感,具有历史感; 文艺,具有历史感; 有故事性,无法判断,Positive,兴趣/好奇; 舒适/安全,中/一般,否,与同事,拍摄; 参观; 器材搬运,与管理员互动,进行专业拍摄,推荐,否,拍摄体验良好但成本较高,[火车主题公园] -> [适合平面摄影]; [火车车厢] -> [具有一定拍摄限制],[适合平面摄影] -> [兴趣/好奇]; [配合度高] -> [舒适/安全],[兴趣/好奇] -> [推荐该场地]; [舒适/安全] -> [愿意再次使用],[工业风格车厢] -> [兴趣/好奇],[火车车厢] [位于] [公园内部]; [厕所和小店] [靠近] [场地门口],[器材运输] [需使用小推车] [从最近的门进入],在下关火车主题公园（地点/历史遗迹），进行影视拍摄活动（行为），感知到车厢狭窄的空间特征（触觉），认为该场地适合平面摄影且管理员配合度高（认知评价），感受到兴趣与安全感（情感），并表达了推荐意愿（行为意图）。,0.380644772
169,南京有自己的橘子海🌊 🗺路线：中山码头浦口码头江豚观赏地 铁路轮渡栈桥旧址 下关火车主题公园欢乐舞台长江大桥南堡公园 🚇1号线珠江路乘坐公交🚌或打车🚗到中山码头 🌄冬日日落时间16:3017:00 中山码头 可以乘坐2r的轮渡前往浦口，去看看朱自清笔下的火车站，记得买两袋橘子🍊 一定要预留充足的时间⌚轮渡比较热门，上下班高峰期需排队 下关火车主题公园🚞 首图！在冬天退潮的时候可以在这个位置看橘子海🌊等太阳慢慢地落下来 zui后一站📍长江大桥下的玻璃栈桥，可以导航好好便利店🏪（宝塔桥西街店）沿着栈道走进来就可以看到长江大桥啦！晚上来还会亮灯，也很好看✨ 正好带上🍂我超爱的黄油白丝绒拿铁☕city walk好搭子！这次和好好家族联 名 好可爱🥰 返程可以骑车前往🚇上元坊乘坐3号线 晚上江边风大！一定要注意保暖～,中山码头; 浦口码头; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车主题公园; 欢乐舞台; 长江大桥南堡公园; 好好便利店（宝塔桥西街店）; 玻璃栈道,滨水区域; 历史遗迹; 公园/绿地; 地标/空间节点; 商业设施; 交通枢纽,轮渡; 码头设施; 铁路轮渡栈桥; 火车主题公园; 蒸汽火车; 玻璃栈道; 长江大桥; 导航点便利店; 拿铁咖啡,长江; 橘子海; 日落; 天空; 风,橘子海; 江景; 长江大桥; 黄油白丝绒拿铁; 亮灯夜景,江风,好看; 出片; 很好看; 很治愈,,风大; 需要保暖,咖啡香味,路线清晰; 可导航,轮渡价格便宜; 有明确营业时间; 有专门观景点,好看; 出片; 很好看; 很治愈; 有设计感,浪漫; 放松; 安静; 有氛围,历史感; 文学联想（朱自清笔下）; 怀旧,人多/拥挤（轮渡高峰期）,Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 舒适/安全,强/高,否,独自; 与朋友,散步; 拍照; 观景; 打卡; 骑行; 乘坐轮渡; 饮用咖啡; 游览,与好好家族联名互动,等待太阳慢慢落下,推荐; 下次还来,否,拍照很出片; 观赏日落很治愈; 咖啡是city walk好搭子,[橘子海] -> [好看/出片]; [长江大桥玻璃栈道] -> [晚上亮灯很好看],[好看/出片] -> [愉悦/开心]; [安静放松的氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来]; [放松/平静] -> [等待太阳慢慢落下],[橘子海日落] -> [治愈/愉悦]; [江风] -> [舒适但需保暖],[中山码头] [通过渡轮连接] [浦口码头]; [好好便利店] [邻近] [长江大桥玻璃栈道],[黄油白丝绒拿铁] [搭配] [city walk],在南京下关滨江区域（中山码头至长江大桥玻璃栈道），进行城市漫步、拍照打卡等活动（行为），感知到橘子海日落的视觉美感和江风拂面的触觉体验（感官），认为该区域景色出片且氛围浪漫治愈（认知评价），感受到愉悦放松的情绪（情感），并表示会再次来访（行为意图）。,0.701270095
343,昨天从浦口码头坐七点整的末班轮渡，来到了中山码头。下了轮渡经过路过下关电厂旧址往左边一看瞬间走不动道了，真的太美了。,浦口码头; 中山码头; 下关民国首都电厂旧址公园,交通枢纽; 历史遗迹,轮渡; 码头设施; 下关电厂旧址建筑,长江; 夜晚灯光,电厂旧址建筑群; 江面夜景; 灯光倒影,,太美了,,,,路线清晰（从浦口码头到中山码头）,轮渡运营至晚上七点,电厂旧址建筑具有历史美感,夜晚氛围独特,电厂旧址的历史感,无法判断,Positive,愉悦/开心; 敬畏/惊叹,强/高,否,独自,乘坐轮渡; 观赏夜景,,瞬间走不动道了（停留欣赏）,推荐/下次还来,否,对电厂旧址的夜景观赏体验非常满意,[下关电厂旧址] -> [真的太美了],[真的太美了] -> [愉悦/开心; 敬畏/惊叹],[愉悦/开心] -> [推荐/下次还来],[电厂旧址夜景] -> [愉悦/开心; 敬畏/惊叹],[浦口码头] [通过渡轮连接] [中山码头]; [中山码头] [邻近] [下关电厂旧址],,在浦口码头至中山码头的夜间轮渡体验中（地点），独自乘坐轮渡并观赏到下关电厂旧址的迷人夜景（行为），感知到江边夜景的视觉美感（感官），认为电厂旧址建筑具有强烈的历史美感（认知评价），感到非常愉悦和惊叹（情感），并表达了强烈重访意愿（行为意图）。,0.229566291
