关系抽取_RE_Spatial_Emotion,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,空间环境特征_Place_Name
[日落] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,强/高,否,锦绣江山花园
[橘子海日落] -> [浪漫]; [江风] -> [放松/平静],Mixed,愉悦/开心; 放松/平静; 自嘲/幽默; 孤独/寂寞,中/一般,是（浪漫氛围->自我调侃）,中山码头; 浦口码头
[民国特色火车站] -> [怀旧/温馨],Positive,自豪/归属感; 敬佩/惊叹; 怀旧/温馨,强/高,否,下关滨江; 江豚观赏地
[日落] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,浦口火车站
[视觉体验对比] -> [理性判断],Neutral,兴趣/好奇; 理性判断,弱/低,否,长江大桥玻璃栈道
[火车汽笛声] -> [沈醉在历史记忆中],Positive,怀旧/温馨; 兴趣/好奇; 愉悦/开心,中/一般,否,中山码头
[洱海日出] -> [愉悦/开心]; [廊桥孤独树] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心; 放松/平静,强/高,否,南京北站; 浦口火车站; 浦口码头
[车站门] -> [怀旧/温馨],Positive,愉悦/开心; 敬佩/惊叹; 怀旧/温馨,中/一般,否,下关市区; 桃源码头; 大理古城; 才村码头; 龙龛码头; 双廊; 苍洱大道; 磻溪村; 廊桥; 喜洲古镇; 周城; 双廊古镇; 鹿卧山; 小普陀; 文笔村; 理想邦; 兴盛大桥
[咸蛋黄日落染红江面] -> [敬畏/惊叹]; [泰国海边风格街区] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,南京西站
[长江大桥] -> [崇敬],Positive,自豪/归属感; 敬佩; 崇敬,强/高,否,下关火车主题公园
[斑驳外墙] -> [怀旧/温馨],Positive,怀旧/温馨; 敬畏/惊叹; 兴趣/好奇,中/一般,否,南京长江大桥; 下关火车主题公园; 桥头堡公园
[长江美景] -> [愉悦/开心],Positive,愉悦/开心; 舒适/安全; 自豪/归属感,强/高,否,浦口火车站; 南京北站; 中山码头; 浦口码头; 中山停灵台
