关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[锦绣江山花园] -> [配套比较全]; [锦绣江山花园] -> [小区较老],[配套比较全] -> [舒适/安全]; [小区较老] -> [兴趣/好奇],[舒适/安全] -> [推荐/考虑购买],
[轮渡] -> [有历史感]; [日落] -> [美美的],[有历史感] -> [怀旧/温馨]; [美美的日落] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[日落] -> [愉悦/开心]
[橘子海日落] -> [浪漫]; [江豚观赏地] -> [有趣],[浪漫氛围] -> [放松/平静]; [自我调侃] -> [自嘲/幽默],[放松/平静] -> [推荐作为520替代方案]; [自嘲/幽默] -> [关闭朋友圈],[橘子海日落] -> [浪漫]; [江风] -> [放松/平静]
[老式英式风格三层砖木结构] -> [有设计感]; [米黄色外墙、红色屋顶] -> [适合拍照打卡],[有历史感] -> [自豪/归属感]; [有文化底蕴] -> [敬佩/惊叹],[自豪/归属感] -> [推荐],[民国特色火车站] -> [怀旧/温馨]
[日落] -> [很美]; [玻璃栈道] -> [适合观景],[视觉美感] -> [愉悦/开心]; [壮观日落] -> [敬畏/惊叹],[愉悦/开心] -> [推荐桥下观景],[日落] -> [愉悦/开心]
[二楼] -> [更出片]; [三楼甲板] -> [不能出棚底],[性价比一般] -> [理性判断],[理性判断] -> [无强烈推荐或劝退],[视觉体验对比] -> [理性判断]
[民国风格建筑] -> [适合港风、民国风拍摄]; [朱自清《背影》历史背景] -> [有文化底蕴],[历史氛围浓厚] -> [怀旧/温馨]; [适合拍照] -> [愉悦/开心],[怀旧/温馨] -> [推荐带家人参观],[火车汽笛声] -> [沈醉在历史记忆中]
[洱海] -> [视野好]; [生态廊道] -> [拍照好看]; [电动车] -> [不实用],[风景好] -> [愉悦/开心]; [日出日落] -> [兴趣/好奇],[愉悦/开心] -> [推荐住宿地点]; [兴趣/好奇] -> [深度游玩计划],[洱海日出] -> [愉悦/开心]; [廊桥孤独树] -> [兴趣/好奇]
[南京西站] -> [有历史感; 有故事]; [轮渡] -> [好喜欢],[有文化象征意义] -> [怀旧/温馨]; [书中内容变得真实] -> [敬佩/惊叹],[愉悦/开心] -> [推荐; 不虚此行],[车站门] -> [怀旧/温馨]
[下关火车主题公园] -> [美得大气磅礴]; [咸蛋黄日落] -> [出片]; [泰国海边风格街区] -> [惬意],[美得大气磅礴] -> [愉悦/开心]; [吹江风太惬意] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [想再来],[咸蛋黄日落染红江面] -> [敬畏/惊叹]; [泰国海边风格街区] -> [放松/平静]
[南京长江大桥] -> [具有划时代的意义]; [复堡式红旗造型] -> [有设计感],[见证国家建设成就] -> [自豪/归属感]; [体现民族精神] -> [敬佩],[敬佩/自豪] -> [值得一去],[长江大桥] -> [崇敬]
[老式英式建筑] -> [有设计感]; [锈迹斑斑的铁皮灯罩] -> [时空交错],[怀旧氛围] -> [怀旧/温馨]; [文学记忆关联] -> [兴趣/好奇],[怀旧/温馨] -> [推荐/有兴趣前往],[斑驳外墙] -> [怀旧/温馨]
[涵江苑] -> [高端大气上档次]; [江景包间] -> [环境雅致又私密],[环境雅致又私密] -> [舒适/安全]; [江景] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[长江美景] -> [愉悦/开心]
[民国首都电厂旧址公园] -> [有历史感]; [黄色建筑] -> [可见],[有文化底蕴] -> [敬佩/敬畏]; [对旧址很着迷] -> [兴趣/好奇],[兴趣/好奇] -> [想来参观]; [敬佩/敬畏] -> [对旧址很着迷],[民国首都电厂旧址公园] -> [兴趣/好奇]
,,[愉悦/开心] -> [参与拍摄],
,,,
