关系抽取_RE_Spatial_Cognitive
[锦绣江山花园] -> [配套比较全]; [锦绣江山花园] -> [小区较老]
[轮渡] -> [有历史感]; [日落] -> [美美的]
[橘子海日落] -> [浪漫]; [江豚观赏地] -> [有趣]
[老式英式风格三层砖木结构] -> [有设计感]; [米黄色外墙、红色屋顶] -> [适合拍照打卡]
[日落] -> [很美]; [玻璃栈道] -> [适合观景]
[二楼] -> [更出片]; [三楼甲板] -> [不能出棚底]
[民国风格建筑] -> [适合港风、民国风拍摄]; [朱自清《背影》历史背景] -> [有文化底蕴]
[洱海] -> [视野好]; [生态廊道] -> [拍照好看]; [电动车] -> [不实用]
[南京西站] -> [有历史感; 有故事]; [轮渡] -> [好喜欢]
[下关火车主题公园] -> [美得大气磅礴]; [咸蛋黄日落] -> [出片]; [泰国海边风格街区] -> [惬意]
[南京长江大桥] -> [具有划时代的意义]; [复堡式红旗造型] -> [有设计感]
[老式英式建筑] -> [有设计感]; [锈迹斑斑的铁皮灯罩] -> [时空交错]
[涵江苑] -> [高端大气上档次]; [江景包间] -> [环境雅致又私密]
[民国首都电厂旧址公园] -> [有历史感]; [黄色建筑] -> [可见]
[绿道] -> [适合骑行]; [天气] -> [很出片]
[下关火车公园] -> [宝藏]; [火车] -> [绝了]; [长江] -> [超级棒]
[中山码头轮渡] -> [方便且便宜]; [老建筑] -> [满满回忆]
[长江大桥] -> [气势雄伟]; [桥头堡建筑群] -> [心潮澎湃]
[浦口火车站] -> [象征意义/有故事]
[江边观景台] -> [可以看见雄伟的南京长江大桥]; [绿皮火车和服务员服装] -> [有种穿越的感觉]
[施工围挡] -> [路线受阻]; [候车室、站台关闭] -> [不实用]
[轮渡] -> [票价便宜]; [观景台] -> [灯光效果好]
[江边路] -> [路线清晰]; [民国海军医院] -> [有历史感]
[新开放路径] -> [提升可达性]
[绿皮火车] -> [有特色]; [铁路轮渡栈桥旧址] -> [有历史感]
[夕阳西下] -> [色彩斑斓/视野开阔]; [滨江公园] -> [好看/精致]
[南京长江大桥] -> [出片效果好]; [火车场景] -> [胶片感]
[民国建筑街区] -> [主打民国风情]; [市保浦口电厂旧址] -> [最大牌]; [国保浦口火车站旧址] -> [冷清]
[精装修] -> [美观]
[朱自清故居] -> [简陋]; [清代建筑] -> [古朴]
[河边小道] -> [路线清晰]; [日落] -> [出片]
[滨江] -> [适合citywalk]; [ITC MALL] -> [功能齐全]
[火车道] -> [有趣]; [旧时光街道] -> [怀旧氛围]
[浦口火车站] -> [承载离别和思念]; [德国风格建筑] -> [典雅]; [复古座椅/壁画] -> [仿佛穿越回了过去]
[南京长江大桥] -> [城市象征]
[中山码头] -> [轮渡服务便利]; [下关火车主题园] -> [历史教育意义]
[浦口码头] -> [有故事有记忆的百年老站]
[火车主题公园] -> [适合平面摄影]; [火车车厢] -> [具有一定拍摄限制]
[长江大桥] -> [大气又不失婉约的城市性格]
[江边路] -> [适合city walk]; [梧桐道和阳光] -> [被治愈]
[玻璃栈道] -> [视野很好]; [长江大桥] -> [视野很好]
[鼓楼滨江风光带] -> [适合拍照和散步]; [江豚观测点] -> [本地生活感]
[江豚观测点] -> [教育意义]; [民国首都电厂旧址公园] -> [挺美]; [儿童游乐场] -> [孩子玩得开心]
