行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
购房咨询,推荐/考虑购买,否,
观赏日落; 乘坐轮渡; 休闲游览,推荐; 下次还来,否,玩得愉快且性价比极高
观看江豚; 拍照; 散步; 等待日落; 看婚拍; 休闲放松,推荐作为520替代方案（倾向接近）,否,适合单身人士放松解压
拍照; 打卡; 参观,推荐,否,适合拍照打卡
观景; 拍照; 散步,不会推荐步行上桥; 推荐桥下观景,否,日落体验很好但路径体验较差
乘坐轮渡; 拍照,无强烈意愿推荐或劝退,否,对不同楼层的拍摄效果有明确比较
参观; 拍照; 亲子活动,推荐; 下次还来,否,拍照很出片；适合家庭参观
居住; 观看日出; 观看日落; 拍照; 散步; 驾车游览; 体验扎染; 品尝美食; 参加夜市; 包车旅游,推荐住宿地点; 推荐包车游; 劝退电动车租赁,否,拍照体验好; 包车服务高质量
参观; 拍照; 乘坐轮渡,推荐; 下次还来,否,对轮渡拍摄体验表示满意
观景; 拍照; 看日落; 散步; 休憩; 用餐,推荐; 下次还来,否,坐在酷似泰国海边的街区吹吹江风，太惬意了
参观游览; 拍照打卡; 学习历史,值得一去,否,
参观游览; 阅读学习; 拍照打卡; 乘坐轮渡,推荐/有兴趣前往,否,感受到浓厚的历史氛围和文学联想
聚餐; 观赏江景; 私人聚会,推荐; 下次还来; 想常来,否,菜品性价比高; 环境精致; 江景优美
参观; 游览; 观看,想来参观,否,对旧址很着迷
拍照,,否,拍摄过程愉快
,,,
骑行; 拍照; 观景,推荐; 下次还来,否,骑行过程很舒适; 拍照体验满意
拍照; 游览,推荐; 下次还来,否,拍照体验很好
乘坐轮渡; 游览,可能推荐轮渡体验但不推荐新修大马路,否,对老建筑兴趣浓厚但对现代仿古街区兴趣不高
参观; 拍照; 观景; 骑行; 散步; 游览,推荐; 下次还来,否,感受大桥气势雄伟; 心潮澎湃
游览; 沉思; 回忆,推荐/想再来,否,沉浸于情感共鸣与回忆中的深度体验
观景; 拍照; 就餐; 乘坐绿皮火车,推荐（建议自驾）,否,拍照体验好; 就餐体验有特色
计划参观; 实地查看,不会再来/劝退,是（因施工改变原参观计划）,未能实现参观预期
乘坐轮渡; 观赏落日; 夜间观景; 拍照; 散步,推荐; 想常来,否,2元票价性价比高; 落日和夜景都很值得
骑行; 吹风; 望江; 拍照; 观景,想常来,否,骑车溜达是一件无比惬意的事
骑行; 步行,推荐使用新路径,否,
参观游览; 拍照; 亲子活动; 吃东西; 散步; 玩耍,推荐,否,适合亲子活动; 有多种娱乐设施
散步; 观景; 拍照; 打卡,推荐,否,漫步很舒服; 拍照很出片
拍照; 观景; 摄影创作,推荐/下次还来,否,除寒冷外整体拍摄体验良好
参观; 游览,下次还来（有条件）,否,参观体验较为安静舒适
看房,可能有接近意愿（隐含）,无法判断,看房过程顺利
,,否,
拍照; 看日落; 观景; 等待夜景灯亮起,推荐; 下次还来,否,拍照体验很好; 观景令人放松
散步; 观景; 就餐; 逛街; 查看活动信息,推荐; 下次还来,否,看夕阳体验满意，商场发现令人感兴趣
游览; 观看火车通过; 购买食品,推荐; 下次还来,是（因堵车改变原计划前往此地）,火车关闸过程有趣；烤鸭味道还行
拍照; 游览; 参观; 散步; 品尝美食,推荐前往; 适合拍照打卡,否,拍照体验很好; 感受复古氛围
,,,
参观历史场馆; 城市漫步; 观看夕阳; 乘坐轮渡; 游览主题公园; 了解本地历史,推荐前往但需注意施工限制,否,历史教育价值高; 滨江风景优美; 适合文化探索与休闲结合
,,,
拍摄; 参观; 器材搬运,推荐,否,拍摄体验良好但成本较高
观看; 航拍摄影,推荐; 下次还来,否,
city walk; 散步; 观赏落日; 听驻唱演出,下次还来,否,步行很舒服，落日很治愈，驻唱增加氛围感
观景; 看日落,坠近喜欢,否,视野很好
观光游览; 拍照; 散步; 本地生活体验,想再来一次; 推荐,否,拍照体验很好；江边散步很愉快
,,,
乘坐轮渡; 参观科普馆; 拍照打卡; 观景; 亲子游玩; 散步; 骑行; 观看夕阳,下次再来,否,孩子还蛮喜欢; 孩子玩得开心
就餐; 品咖啡; 观赏落日; 听音乐,推荐; 下次还来,否,咖啡蛋糕口味不错; 环境体验极佳
乘坐轮渡; 拍照; 观景; 打卡; 散步; 聊天; 看江豚,推荐/下次还来,否,坐着聊天吹风很舒服；看江豚很可爱
散步; 观察,,否,
观景,,否,
拍照,推荐; 想常来,否,拍照很出片
乘坐轮渡,,否,
步行; 骑行; 拍照; 观景; 看日落; 打卡; 乘坐轮渡; 游览,推荐; 想常来,否,骑行顺畅; 拍照出片; 日落绝美
散步; 观景,避免拥挤地点,否,成功看到落日但遗憾缺少晚霞
乘坐游轮; 拍照; 观景; 散步; 登高; 骑行,推荐; 下次还来,否,体验长江轮渡很特别; 拍照出片效果好
散步; 拍照; 观景; 打卡; 看日落,下次还想来; 推荐,否,看日落、逛江边体验不错
乘坐轮渡; 游览; 观景; 阅读历史背景,推荐; 依旧可打,否,传统轮渡依旧实用且具有历史价值
喝咖啡,推荐/下次还来,否,咖啡馆的景色令人满意
游览; 参观,未明确表达推荐或回避意愿,否,对空间美感表示欣赏
观景; 拍照; 乘坐游船; 散步; 休闲放松,推荐; 想常来,否,拍照出片效果好; 散步很放松; 游船体验深入感受城市魅力
观景; 用餐; 求婚,推荐; 下次还来,否,用来求婚简直绝绝子
参观历史遗迹; 拍照打卡; 乘坐轮渡; 观景; 听音乐,推荐/可能再来,否,无法判断
观景; 徒步计划; 导航查询,推荐; 想常来,否,
