关系抽取_RE_Cognitive_Emotion
[配套比较全] -> [舒适/安全]; [小区较老] -> [兴趣/好奇]
[有历史感] -> [怀旧/温馨]; [美美的日落] -> [愉悦/开心]
[浪漫氛围] -> [放松/平静]; [自我调侃] -> [自嘲/幽默]
[有历史感] -> [自豪/归属感]; [有文化底蕴] -> [敬佩/惊叹]
[视觉美感] -> [愉悦/开心]; [壮观日落] -> [敬畏/惊叹]
[性价比一般] -> [理性判断]
[历史氛围浓厚] -> [怀旧/温馨]; [适合拍照] -> [愉悦/开心]
[风景好] -> [愉悦/开心]; [日出日落] -> [兴趣/好奇]
[有文化象征意义] -> [怀旧/温馨]; [书中内容变得真实] -> [敬佩/惊叹]
[美得大气磅礴] -> [愉悦/开心]; [吹江风太惬意] -> [放松/平静]
[见证国家建设成就] -> [自豪/归属感]; [体现民族精神] -> [敬佩]
[怀旧氛围] -> [怀旧/温馨]; [文学记忆关联] -> [兴趣/好奇]
[环境雅致又私密] -> [舒适/安全]; [江景] -> [愉悦/开心]
[有文化底蕴] -> [敬佩/敬畏]; [对旧址很着迷] -> [兴趣/好奇]
[视觉美观] -> [愉悦/开心]; [骑行顺畅] -> [放松/平静]
[宝藏] -> [愉悦/开心]; [拍照好看] -> [愉悦/开心]
[满满回忆] -> [怀旧/温馨]; [老建筑兴趣] -> [兴趣/好奇]
[气势雄伟] -> [敬畏/惊叹]; [心潮澎湃] -> [自豪/归属感]
[怀旧氛围] -> [怀旧/温馨]; [温暖亲切] -> [放松/平静]
[有种穿越的感觉] -> [怀旧/温馨]; [拍照适合] -> [愉悦/开心]
[受限的空间体验] -> [挫败/烦恼]
[票价便宜] -> [愉悦/开心]; [灯光效果好] -> [愉悦/开心]
[自由] -> [愉悦/开心]; [惬意] -> [放松/平静]
[提升可达性] -> [兴趣/好奇]
[适合亲子活动] -> [愉悦/开心]; [有历史感] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [视觉美感] -> [愉悦/开心]
[出片效果好] -> [愉悦/开心]; [胶片感] -> [放松/平静]
[民国风情] -> [兴趣/好奇]; [冷清] -> [平静]
[精装修] -> [舒适/安全]
[勾起对《背影》的回忆] -> [怀旧/温馨]
[浪漫氛围] -> [愉悦/开心]; [江风舒服] -> [放松/平静]
[轻松氛围] -> [愉悦/开心]; [有趣活动] -> [兴趣/好奇]
[有趣] -> [兴趣/好奇]; [怀旧氛围] -> [愉悦/开心]
[仿佛穿越回了过去] -> [怀旧/温馨]; [典雅建筑] -> [愉悦/开心]; [历史意义] -> [敬畏/惊叹]
[城市象征] -> [中性认知]
[历史意义] -> [自豪/归属感]; [滨江景色] -> [兴趣/好奇]
[有故事有记忆] -> [怀旧/温馨]
[适合平面摄影] -> [兴趣/好奇]; [配合度高] -> [舒适/安全]
[影响千千万万南京人] -> [自豪/归属感]
[宁静开阔氛围] -> [放松/平静]; [风大] -> [紧张/不适]
[视野很好] -> [愉悦/开心]; [视野很好] -> [放松/平静]
[本地生活感] -> [怀旧/温馨]; [夕阳西下拍照很美] -> [愉悦/开心]
[亲子友好] -> [愉悦/开心]; [教育意义] -> [兴趣/好奇]; [朱自清《背影》火车站] -> [怀旧/温馨]
[环境氛围好] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[出片] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[有历史感] -> [中性感知]
[充满力量感] -> [敬畏/惊叹]; [有历史感] -> [自豪/归属感]
[有历史感] -> [怀旧/温馨]; [太能拍出故事感] -> [愉悦/开心]
[路线清晰] -> [轻松/舒适]; [出片] -> [愉悦/开心]; [日落绝美] -> [放松/平静]
[应该会更美] -> [放松/平静]
[滨江风景开阔] -> [放松/平静]; [出片效果] -> [愉悦/开心]
[很好出片] -> [愉悦/开心]; [放松] -> [不会很累]
[历史故事] -> [怀旧/温馨]; [泄洪般的电动车流] -> [惊叹/敬畏]
[景色一流] -> [愉悦/开心]
[蛮美] -> [敬畏/惊叹]; [发生过很多故事] -> [怀旧/温馨]
