认知评价与体验_Sensory_Visual_Desc,认知评价与体验_Sensory_Auditory_Desc,认知评价与体验_Sensory_TactileKinesthetic_Desc,认知评价与体验_Sensory_OlfactoryGustatory_Desc,认知评价与体验_Cognitive_Legibility_Orientation,认知评价与体验_Cognitive_Functionality_Usability,认知评价与体验_Cognitive_Aesthetics_Quality,认知评价与体验_Cognitive_Atmosphere_Experience,认知评价与体验_Cognitive_Meaning_Association
,,,,,配套比较全; 成交价格不算高,小区较老,,低密度商品房
美美的,轮渡汽笛声（隐含）,江风拂面,,路线清晰,票价低廉（2元）; 过江实用方式,有历史感; 美观,放松; 浪漫; 怀旧,历史感; 时代记忆
浪漫致亖的橘子海日落,,吹江风,,,适合拍照打卡、休闲散步,浪漫; 出片,轻松; 浪漫; 有活力（婚拍人群）,
适合拍照打卡,,,,,,有设计感; 精致; 协调; 干净,承载历史记忆; 有氛围感; 有文化气息,有历史感; 文艺; 怀旧; 有文化底蕴; 有故事; 熟悉
很美,,路窄; 不好走; 需要原路返回,,路线单一; 方向感强,不适合步行游览; 适合乘车或短暂停留观景; 玻璃栈道维护良好但路径设计不佳,日落景观好看; 出片,宁静; 壮观,对大桥有特殊情结的人更有共鸣
二楼更出片,,,,路线清晰（单程约10分钟）,性价比一般（不建议加10元）,二楼视觉体验优于三楼,,
适合港风和民国风拍摄,悠长的嘟声,地面可能有蚊虫叮咬,,导航可达，路线清晰,停车场充足且收费合理,具有民国特色; 有设计感; 有文化底蕴,历史氛围浓厚; 沈醉在历史记忆中,朱自清《背影》的历史联想; 影视取景地的文化意义
视野好; 风景好; 拍照好看; 有风感; 绝美,,风大; 日晒; 累,,路线清晰; 分为海西线和海东线; 车辆可达景点入口,住宿选择多样; 包车服务便利; 不建议租电动车,有设计感; 漂亮; 美; 一般,惬意; 自由; 野生感; 人文气息,白族文化; 扎染传统; 圣托里尼风格联想
书中内容变得真实,,,,无法判断,车站内部封闭（功能性受限）,有历史感; 有故事; 有文化底蕴,奇妙; 有氛围感; 有回忆,怀旧; 有故事; 有文化象征意义
大气磅礴; 美得大气磅礴; 像南京的海边; 像泰国海边; 咸蛋黄日落; 染红江面,,吹江风很惬意,,方向感强（南衔/北仰/东临/西眺描述清晰方位）,免费开放; 设有茶社/书吧/龙虾广场; 可休憩观景,美得大气磅礴; 像海边; 出片; 有设计感; 精致; 有历史感,浪漫; 放松; 有氛围感; 有活力,百年厚重历史; 沉甸甸的历史; 铁路历史元素; 有故事
